City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,0,Hilo,19.7297,-155.09,299.15,47,40,4.12,US,scattered clouds
1,1,Haines Junction,60.7522,-137.5108,247.15,70,73,0.51,CA,broken clouds
2,2,Hay River,60.8156,-115.7999,238.15,61,10,2.06,CA,clear sky
3,3,Souillac,-20.5167,57.5167,298.15,83,40,2.06,MU,scattered clouds
4,4,Coos Bay,43.3665,-124.2179,283.15,81,90,2.06,US,overcast clouds
5,5,Hermanus,-34.4187,19.2345,292.59,91,100,1.57,ZA,light rain
6,6,Saint-Philippe,-21.3585,55.7679,299.15,73,75,3.09,RE,broken clouds
7,7,Masty,53.4122,24.5387,251.95,92,0,0.9,BY,clear sky
9,9,Inhambane,-23.865,35.3833,297.98,88,100,3.05,MZ,overcast clouds
10,10,Aykhal,66.0,111.5,237.76,82,3,4.11,RU,clear sky
11,11,Cape Town,-33.9258,18.4232,294.26,88,20,4.12,ZA,few clouds
12,12,New Norfolk,-42.7826,147.0587,293.15,55,74,1.34,AU,broken clouds
13,13,Kodyma,48.0988,29.1246,267.04,88,98,2.67,UA,overcast clouds
14,14,Ushuaia,-54.8,-68.3,284.15,76,40,8.23,AR,scattered clouds
15,15,Potosi,-19.5836,-65.7531,282.62,73,100,2.68,BO,overcast clouds
16,16,Kapaa,22.0752,-159.319,297.59,53,75,2.57,US,broken clouds
17,17,Kamenka,51.3223,42.7678,258.71,82,99,5.36,RU,overcast clouds
19,19,Giraltovce,49.114,21.5173,271.48,76,100,1.79,SK,snow
20,20,Busselton,-33.65,115.3333,288.71,97,100,1.34,AU,overcast clouds
23,23,Clyde River,70.4692,-68.5914,250.15,77,75,1.91,CA,broken clouds
24,24,Upernavik,72.7868,-56.1549,265.7,75,0,1.55,GL,clear sky
25,25,Port Elizabeth,-33.918,25.5701,294.15,78,0,8.75,ZA,clear sky
26,26,Hobart,-42.8794,147.3294,293.15,67,75,7.2,AU,broken clouds
27,27,Caarapo,-22.6342,-54.8222,290.47,84,0,0.8,BR,clear sky
29,29,Marawi,7.9986,124.2928,299.82,80,49,1.79,PH,scattered clouds
30,30,Avera,33.194,-82.5271,278.15,90,90,5.66,US,mist
31,31,Liverpool,53.4106,-2.9779,276.15,87,75,8.23,GB,broken clouds
32,32,Raudeberg,61.9875,5.1352,268.71,73,0,3.09,NO,clear sky
34,34,Axim,4.8699,-2.2405,299.67,87,60,4.61,GH,broken clouds
35,35,Jalu,29.0331,21.5482,287.71,42,0,3.73,LY,clear sky
36,36,Mar Del Plata,-38.0023,-57.5575,290.93,77,20,4.63,AR,few clouds
38,38,Bela,25.9333,81.9833,282.08,70,0,2.33,IN,clear sky
39,39,Georgetown,5.4112,100.3354,299.82,83,20,1.03,MY,few clouds
41,41,Saint Anthony,45.0205,-93.21799999999999,253.15,59,1,6.69,US,clear sky
42,42,Barrow,71.2906,-156.7887,252.15,77,40,7.2,US,haze
44,44,Kodiak,57.79,-152.4072,276.15,60,1,4.12,US,clear sky
46,46,Tahe,52.3333,124.7333,248.85,84,39,1.18,CN,scattered clouds
47,47,Rikitea,-23.1203,-134.9692,299.14,68,45,4.28,PF,scattered clouds
48,48,Lahij,13.1667,44.5833,292.12,78,89,0.93,YE,overcast clouds
49,49,Ponta Do Sol,32.6667,-17.1,285.37,68,12,0.89,PT,few clouds
50,50,Boyolangu,-8.1181,111.8935,299.68,80,45,3.64,ID,scattered clouds
51,51,Dikson,73.5069,80.5464,239.76,86,90,4.29,RU,overcast clouds
52,52,Albany,42.6001,-73.9662,270.37,43,0,2.01,US,clear sky
53,53,Sumter,28.7086,-82.0831,293.15,93,45,1.26,US,scattered clouds
54,54,Atuona,-9.8,-139.0333,299.89,78,51,8.87,PF,broken clouds
56,56,Khatanga,71.9667,102.5,235.66,78,0,3.77,RU,clear sky
58,58,Katherine,-14.4667,132.2667,297.15,94,90,2.57,AU,light rain
59,59,Nakusp,50.2499,-117.8023,274.15,93,100,1.41,CA,light snow
60,60,Bluff,-46.6,168.3333,289.39,70,0,3.16,NZ,clear sky
61,61,Chokurdakh,70.6333,147.9167,244.24,86,100,1.56,RU,overcast clouds
62,62,Buala,-8.145,159.5921,298.73,82,100,3.32,SB,light rain
63,63,Ribeira Grande,38.5167,-28.7,289.29,88,100,10.3,PT,overcast clouds
64,64,Tomatlan,19.9333,-105.25,295.17,81,1,1.81,MX,clear sky
65,65,Ahipara,-35.1667,173.1667,294.3,64,96,0.95,NZ,overcast clouds
66,66,Maunabo,18.0072,-65.8993,298.15,86,63,0.89,PR,broken clouds
67,67,Abu Samrah,35.3029,37.1841,282.88,78,0,2.69,SY,clear sky
68,68,Hokitika,-42.7167,170.9667,292.04,66,0,3.01,NZ,clear sky
69,69,Cidreira,-30.1811,-50.2056,293.35,76,15,1.82,BR,few clouds
70,70,Thompson,55.7435,-97.8558,240.15,68,75,6.17,CA,snow
71,71,Uyuni,-20.4597,-66.825,287.63,56,100,3.78,BO,overcast clouds
72,72,Tianpeng,30.9866,103.9393,284.26,1,0,1.4,CN,clear sky
73,73,Norman Wells,65.282,-126.8329,241.15,68,75,1.03,CA,broken clouds
74,74,Yellowknife,62.456,-114.3525,235.15,67,1,1.03,CA,mist
75,75,Saskylakh,71.9167,114.0833,232.49,78,24,3.32,RU,few clouds
76,76,Olafsvik,64.8945,-23.7142,274.29,82,45,6.91,IS,scattered clouds
77,77,Cherskiy,68.75,161.3,253.52,81,0,2.1,RU,clear sky
78,78,Provideniya,64.3833,-173.3,256.67,88,4,2.8,RU,clear sky
79,79,Fortuna,40.5982,-124.1573,283.71,87,1,5.66,US,clear sky
80,80,Kailua,21.4022,-157.7394,299.15,47,20,6.17,US,few clouds
81,81,Sitka,57.0531,-135.33,275.15,60,40,5.14,US,scattered clouds
82,82,Punta Arenas,-53.15,-70.9167,285.15,62,0,8.23,CL,clear sky
83,83,Narsaq,60.9167,-46.05,268.24,81,100,1.63,GL,overcast clouds
84,84,Umm Kaddadah,13.6017,26.6876,287.06,37,0,5.79,SD,clear sky
85,85,Codrington,-38.2667,141.9667,288.6,66,100,5.34,AU,overcast clouds
86,86,Pevek,69.7008,170.3133,251.99,87,0,2.51,RU,clear sky
87,87,Bredasdorp,-34.5322,20.0403,294.15,68,96,2.57,ZA,light rain
88,88,Batticaloa,7.7102,81.6924,298.38,87,90,3.39,LK,overcast clouds
89,89,Mocuba,-16.8392,36.9856,296.02,95,92,1.31,MZ,overcast clouds
92,92,Leningradskiy,69.3833,178.4167,249.83,74,0,2.52,RU,clear sky
93,93,Crotone,39.0851,17.1178,286.48,53,100,4.78,IT,overcast clouds
94,94,Aklavik,68.2191,-135.0107,251.15,71,90,5.14,CA,overcast clouds
97,97,Mandalgovi,45.7625,106.2708,258.51,85,0,2.93,MN,clear sky
98,98,Ureki,41.9956,41.7786,285.15,58,75,6.69,GE,broken clouds
99,99,Cockburn Town,21.4612,-71.1419,298.15,78,40,7.72,TC,scattered clouds
100,100,Paamiut,61.994,-49.6678,268.47,80,0,1.82,GL,clear sky
101,101,Kaitangata,-46.2817,169.8464,291.48,72,11,4.02,NZ,few clouds
102,102,Anadyr,64.75,177.4833,250.37,77,0,3.0,RU,clear sky
103,103,Faro,37.0194,-7.9322,285.15,76,40,6.17,PT,scattered clouds
104,104,Kysyl-Syr,63.8986,122.7617,236.85,82,90,3.6,RU,overcast clouds
105,105,Naze,28.3667,129.4833,292.15,63,20,3.09,JP,few clouds
106,106,Pitea,65.3172,21.4794,263.15,92,90,5.66,SE,overcast clouds
107,107,Oranjestad,12.524000000000001,-70.027,299.15,73,20,9.77,AW,few clouds
108,108,Kalmunai,7.4167,81.8167,297.78,89,18,3.53,LK,few clouds
109,109,Pangnirtung,66.1451,-65.7125,268.1,79,100,1.46,CA,overcast clouds
