City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Rikitea,-23.1203,-134.9692,299.08,69,100,4.4,PF,overcast clouds
1,Shyryayeve,47.3805,30.1964,267.7,94,100,2.55,UA,overcast clouds
2,Lackawanna,42.8256,-78.8234,267.59,68,40,5.66,US,scattered clouds
3,Dukat,62.55,155.55,253.04,88,100,2.42,RU,overcast clouds
4,Broome,42.2506,-75.833,270.15,33,1,3.09,US,clear sky
5,Dikson,73.5069,80.5464,239.53,86,89,4.26,RU,overcast clouds
6,Victoria,22.2855,114.1577,292.04,62,0,3.34,HK,clear sky
7,Georgetown,5.4112,100.3354,299.15,83,20,0.51,MY,few clouds
8,Houma,29.5958,-90.7195,286.48,94,90,3.09,US,overcast clouds
9,Castro,-24.7911,-50.0119,289.1,91,0,4.21,BR,clear sky
10,Aklavik,68.2191,-135.0107,251.15,71,90,4.63,CA,overcast clouds
11,Tromso,69.6496,18.957,270.15,93,75,5.66,NO,light snow
12,Nevelsk,46.6733,141.8633,251.15,77,33,3,RU,scattered clouds
13,Hobart,-42.8794,147.3294,291.48,59,75,6.17,AU,broken clouds
14,Avarua,-21.2078,-159.775,303.15,70,69,5.66,CK,broken clouds
15,Longyearbyen,78.2186,15.6401,266.15,79,75,5.14,SJ,broken clouds
16,Chuy,-33.6971,-53.4616,292.97,84,0,4.9,UY,clear sky
17,Luderitz,-26.6481,15.1594,293.83,61,0,9.63,NA,clear sky
18,Vardo,70.3705,31.1107,270.46,95,100,12.66,NO,light snow
19,Ekhabi,53.5102,142.9671,255.25,93,100,4.26,RU,overcast clouds
20,Vila Franca Do Campo,37.7167,-25.4333,288.71,94,75,8.75,PT,broken clouds
21,Punta Arenas,-53.15,-70.9167,286.15,58,40,10.29,CL,scattered clouds
22,Khatanga,71.9667,102.5,235.51,78,0,3.63,RU,clear sky
23,Lebu,-37.6167,-73.65,288.37,91,56,1.47,CL,broken clouds
24,Tateyama,34.9833,139.8667,284.82,76,20,2.06,JP,few clouds
25,Atuona,-9.8,-139.0333,299.97,76,83,8.67,PF,broken clouds
26,Alofi,-19.0595,-169.9187,303.15,74,100,5.14,NU,moderate rain
27,Mahebourg,-20.4081,57.7,298.15,83,20,1.54,MU,few clouds
28,Ilulissat,69.2167,-51.1,268.15,46,7,13.38,GL,light snow
29,La Ronge,55.1001,-105.2842,244.15,57,85,2.57,CA,overcast clouds
30,San Patricio,28.017,-97.5169,297.15,46,1,5.14,US,clear sky
31,Kavieng,-2.5744,150.7967,302.36,67,79,1.45,PG,broken clouds
32,Fairbanks,64.8378,-147.7164,252.59,77,90,0.34,US,light snow
33,Namatanai,-3.6667,152.4333,302.12,67,72,1.88,PG,broken clouds
34,Busselton,-33.65,115.3333,288.15,98,100,0.89,AU,light rain
35,Ushuaia,-54.8,-68.3,284.15,76,40,9.77,AR,scattered clouds
36,Mar Del Plata,-38.0023,-57.5575,290.93,77,20,5.66,AR,few clouds
37,Butaritari,3.0707,172.7902,300.49,80,92,9.19,KI,overcast clouds
38,Jamestown,42.097,-79.2353,265.15,53,1,3.09,US,clear sky
39,Chokurdakh,70.6333,147.9167,242.7,86,38,1.49,RU,scattered clouds
40,Coldingham,55.8868,-2.157,274.26,97,100,4.47,GB,light snow
41,Ahipara,-35.1667,173.1667,295.49,58,95,1.64,NZ,overcast clouds
42,Matara,5.9485,80.5353,296.34,89,97,2.34,LK,overcast clouds
43,Hermanus,-34.4187,19.2345,293.15,89,80,0.89,ZA,light rain
44,Khombole,14.7667,-16.7,293.15,68,96,9.26,SN,overcast clouds
45,Saint-Philippe,-21.3585,55.7679,299.15,78,40,2.57,RE,light rain
46,Kodiak,57.79,-152.4072,277.15,56,20,2.06,US,few clouds
47,Hasaki,35.7333,140.8333,280.15,61,20,3.09,JP,few clouds
48,Bluff,-46.6,168.3333,289.45,68,2,2.86,NZ,clear sky
49,Cockburn Town,21.4612,-71.1419,298.15,78,40,7.72,TC,scattered clouds
50,Chicama,-7.8447,-79.1469,294.15,88,75,5.14,PE,fog
51,Sioux Lookout,50.1001,-91.917,248.15,70,90,6.17,CA,snow
52,Carnarvon,-24.8667,113.6333,300.15,100,24,5.14,AU,few clouds
53,Mount Isa,-20.7333,139.5,297.15,100,90,3.6,AU,moderate rain
54,Zhigansk,66.7697,123.3711,233.96,80,97,5.76,RU,overcast clouds
55,Yellowknife,62.456,-114.3525,235.15,67,1,1.54,CA,mist
56,Lebowakgomo,-24.2,29.5,293.15,88,0,1.38,ZA,clear sky
57,Tahoua,14.8888,5.2692,294.07,21,67,5.13,NE,broken clouds
58,Pacifica,37.6138,-122.4869,289.26,82,1,6.17,US,haze
59,Esperance,-33.8667,121.9,288.15,100,90,6.17,AU,light rain
60,Cape Town,-33.9258,18.4232,294.82,78,20,4.63,ZA,few clouds
61,Kapaa,22.0752,-159.319,297.04,49,75,4.12,US,broken clouds
62,Hithadhoo,-0.6,73.0833,300.79,74,22,5.96,MV,few clouds
63,Tuktoyaktuk,69.4541,-133.0374,246.15,76,90,10.8,CA,snow
64,Arraial Do Cabo,-22.9661,-42.0278,297.36,83,100,2.34,BR,overcast clouds
65,Santa Cruz,-17.8,-63.1667,302.15,51,20,1.03,BO,few clouds
66,Morehead,37.2711,-87.1764,279.15,52,90,1.88,US,overcast clouds
67,Kungurtug,50.5994,97.5228,255.13,85,26,0.95,RU,scattered clouds
68,Salalah,17.0151,54.0924,296.15,68,75,2.57,OM,broken clouds
69,Ostrovnoy,68.0531,39.5131,259.86,90,98,4.83,RU,overcast clouds
70,Ibra,22.6906,58.5334,282.6,80,0,0.43,OM,clear sky
71,Anyksciai,55.5256,25.1026,255.82,94,47,1.29,LT,scattered clouds
72,Korla,41.7597,86.1469,269.35,86,0,0.92,CN,clear sky
73,Nikolskoye,59.7035,30.7861,260.15,78,20,7,RU,light snow
74,Bredasdorp,-34.5322,20.0403,294.15,68,63,2.57,ZA,broken clouds
75,Tasiilaq,65.6145,-37.6368,274.15,60,75,15.43,GL,light rain
76,Ribeira Grande,38.5167,-28.7,289.29,87,98,9.89,PT,overcast clouds
77,Port Alfred,-33.5906,26.891,293.15,89,43,1.34,ZA,scattered clouds
78,Half Moon Bay,37.4636,-122.4286,292.15,82,1,6.17,US,haze
79,Aktash,50.3,87.7333,256.14,88,0,2.87,RU,clear sky
80,Hilo,19.7297,-155.09,300.15,41,1,4.12,US,clear sky
81,Jiangyou,31.7667,104.7167,280.93,62,75,1.58,CN,broken clouds
82,Port Hawkesbury,45.6169,-61.3485,274.26,86,90,7.2,CA,light rain
83,Bengkulu,-3.8004,102.2655,298.06,74,100,1.88,ID,overcast clouds
84,Tiksi,71.6872,128.8694,241.09,84,100,2.04,RU,overcast clouds
85,Ponta Do Sol,32.6667,-17.1,285.37,68,11,0.45,PT,few clouds
86,Albany,42.6001,-73.9662,271.48,43,1,4.12,US,clear sky
87,Leh,34.1667,77.5833,257.84,50,0,0.73,IN,clear sky
88,Puerto Ayora,-0.7393,-90.3518,298.71,91,62,1.34,EC,broken clouds
89,Qaanaaq,77.484,-69.3632,260.98,86,99,3.27,GL,overcast clouds
90,Anadyr,64.75,177.4833,250.37,77,0,3,RU,clear sky
91,Cidreira,-30.1811,-50.2056,294.19,74,63,2.05,BR,broken clouds
92,Tadine,-21.55,167.8833,301.38,68,0,1.52,NC,clear sky
93,Opuwo,-18.0607,13.84,296.29,41,97,1.87,NA,overcast clouds
94,Santa Rosa,14.3122,121.1114,299.82,88,40,4.34,PH,scattered clouds
95,Provideniya,64.3833,-173.3,256.5,89,35,2.28,RU,scattered clouds
96,Sangar,63.9242,127.4739,233.75,78,60,2.73,RU,broken clouds
97,Oranjemund,-28.55,16.4333,291.3,92,38,6.99,NA,scattered clouds
98,Gizo,-8.103,156.8419,301.04,74,100,0.84,SB,light rain
99,Saskylakh,71.9167,114.0833,232.4,78,42,3.39,RU,scattered clouds
100,Vestmanna,62.1564,-7.1664,275.15,60,40,8.75,FO,scattered clouds
101,Qunduz,36.729,68.857,283.8,45,69,1.61,AF,broken clouds
102,Mataura,-46.1927,168.8643,298.29,50,0,1.09,NZ,clear sky
103,Port Elizabeth,-33.918,25.5701,293.15,77,0,5.66,ZA,clear sky
104,Mezen,65.8522,44.24,247.28,87,85,3.45,RU,overcast clouds
105,Port Augusta,-32.5,137.7667,293.15,68,90,5.66,AU,overcast clouds
106,Usinsk,65.9939,57.5281,237.06,81,99,6.35,RU,overcast clouds
107,Malanje,-9.5402,16.341,291.55,99,100,2.15,AO,moderate rain
108,Lavrentiya,65.5833,-171,250.92,79,0,0.6,RU,clear sky
109,Majene,-3.5403,118.9707,300.33,77,99,0.64,ID,overcast clouds
110,Nizwa,22.9333,57.5333,283.43,63,0,0.93,OM,clear sky
111,Harper,4.375,-7.7169,299.5,88,34,4.44,LR,scattered clouds
112,Khasan,42.4308,130.6434,263.35,88,6,5.01,RU,clear sky
113,Alice Springs,-23.7,133.8833,300.15,28,61,7.72,AU,broken clouds
114,Caravelas,-17.7125,-39.2481,298.56,87,100,4.24,BR,overcast clouds
115,Muravlenko,63.7898,74.523,256.57,94,100,8.21,RU,snow
116,Vrangel,42.7297,133.0839,263.58,83,10,4.81,RU,clear sky
117,Kaniama,-7.5667,24.1833,292.17,96,100,0.26,CD,overcast clouds
118,Krutikha,53.9599,81.2093,271.89,94,33,7.11,RU,scattered clouds
119,Severo-Kurilsk,50.6789,156.125,267.92,93,99,6.91,RU,overcast clouds
120,Leningradskiy,69.3833,178.4167,249.82,74,0,2.7,RU,clear sky
121,Bowen,-20.0167,148.2333,302.15,74,40,3.09,AU,scattered clouds
122,Bara,10.3744,10.7288,294.27,23,61,3.28,NG,broken clouds
123,Norman Wells,65.282,-126.8329,240.15,68,75,1.54,CA,broken clouds
