City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,78.8,69,1,10.36,US,2021-02-15 03:32:02
1,Bluff,-46.6,168.3333,60.01,71,58,14.0,NZ,2021-02-15 03:32:03
2,Ahipara,-35.1667,173.1667,70.9,85,98,22.32,NZ,2021-02-15 03:32:03
3,Rikitea,-23.1203,-134.9692,79.66,77,76,16.11,PF,2021-02-15 03:32:04
4,Luderitz,-26.6481,15.1594,65.68,71,0,20.87,NA,2021-02-15 03:27:42
5,Tasiilaq,65.6145,-37.6368,30.2,86,90,3.44,GL,2021-02-15 03:32:05
6,Atuona,-9.8,-139.0333,79.03,75,1,11.25,PF,2021-02-15 03:32:05
7,Ribeira Grande,38.5167,-28.7,54.19,60,76,29.19,PT,2021-02-15 03:32:05
8,Severodvinsk,64.5635,39.8302,-13.0,77,40,2.24,RU,2021-02-15 03:32:05
9,Arraial Do Cabo,-22.9661,-42.0278,75.72,89,100,12.21,BR,2021-02-15 03:32:05
10,Lebu,-37.6167,-73.65,57.36,80,0,18.01,CL,2021-02-15 03:32:05
11,Tual,-5.6667,132.75,82.99,76,100,14.29,ID,2021-02-15 03:32:06
12,Asau,46.4333,26.4,26.6,80,40,3.44,RO,2021-02-15 03:32:06
13,Mataura,-46.1927,168.8643,60.01,71,84,14.0,NZ,2021-02-15 03:32:06
14,Hobart,-42.8794,147.3294,64.99,67,75,8.05,AU,2021-02-15 03:31:46
15,Ponta Do Sol,32.6667,-17.1,57.2,82,20,3.44,PT,2021-02-15 03:32:06
16,Yellowknife,62.456,-114.3525,-9.0,77,1,8.05,CA,2021-02-15 03:31:45
17,Barrow,71.2906,-156.7887,-9.4,70,90,8.05,US,2021-02-15 03:32:06
18,Poum,-20.2333,164.0167,80.26,76,5,5.61,NC,2021-02-15 03:32:07
19,Georgetown,5.4112,100.3354,87.8,48,20,6.91,MY,2021-02-15 03:30:14
20,Provideniya,64.3833,-173.3,12.2,73,20,15.66,RU,2021-02-15 03:32:07
21,Avarua,-21.2078,-159.775,84.2,74,40,4.61,CK,2021-02-15 03:32:07
22,Dikson,73.5069,80.5464,-21.89,87,100,14.0,RU,2021-02-15 03:32:07
23,Cochrane,51.1834,-114.4687,-7.6,77,90,10.36,CA,2021-02-15 03:27:44
24,Kaitangata,-46.2817,169.8464,60.01,73,89,15.01,NZ,2021-02-15 03:32:07
25,Umm Lajj,25.0213,37.2685,73.67,64,0,4.99,SA,2021-02-15 03:27:59
26,Marsa Matruh,31.3525,27.2453,51.8,71,0,13.8,EG,2021-02-15 03:32:08
27,Cruzeiro Do Sul,-29.5128,-51.9853,69.01,97,64,1.01,BR,2021-02-15 03:32:08
